entity,pillar,title,url,source,date,demographics,wdl_mention,text_paragraph_1,text_paragraph_2,text_paragraph_3,has_text,is_google_link,rss_position,reach_score
Angola,Jobs & Employment,Agriculture overtakes oil as Angola’s top economic sector,https://www.theafricareport.com/418886/agriculture-overtakes-oil-as-angolas-top-economic-sector/,The Africa Report,18 May 2026,,no,Join the top leaders who read The Africa Report every day,"For decades, Angola’s story was reduced to one commodity: oil. As Africa’s second-largest producer, its economy rose and fell with global crude prices, making it a textbook case of Dutch disease. Easy petrodollars fed a deep dependence on imports. Angola extracted wealth from the ground, but bought in much of what it needed to live.",,yes,no,0,15
Angola,Jobs & Employment,"Lockport cabinet factory set to reopen, bringing back 100 jobs",https://news.google.com/rss/articles/CBMiugFBVV95cUxOTnFybl9VSF9aWjVkVWN2Tlg1VDZtU3d6S3pGVXQzN3ZsbV9Lby1wcjltOVFiYWQxSmd6aklwMmNVMXBBdHZzRUhpUzRjQWxjcVFHZV8xajNlU0t2MmhZdEF4bHFPb3lfS2RwaW9nNXZLcHdYcWxoVWI0YmU1dlpGTUlDSDJiaU5BX2s3MWhVYjB1MFlFUS1fWEdfSEhHVFozTmlhYkxOODBiMzlEaExuTUs0MDhtSGdiVUE?oc=5,WGRZ,16 May 2026,,no,,,,no,yes,1,7
Angola,Jobs & Employment,Henning leads Loras past No. 4 Trine,https://news.google.com/rss/articles/CBMimgFBVV95cUxQWnFSUW5SbVpfQldSbkJfLUo1X1ZFQjdwbEJ0WDMzTUZaMXhYVzc4Z2FrLW9qbzVjNVRyNHdwdTd4bEU5UlhMcnltSzJrOWs1TGRlVkZmTkgwa0E5eXJYc2pKemkwdFB3RmVhLTlIeVZZTExyblFVanhDYXFRZlVyS1V3MEtOUHVrek1uM3g4VjJVRnVMUlU1RDN3?oc=5,messengernews.net,16 May 2026,,no,,,,no,yes,2,6
Angola,Jobs & Employment,Angola's First New Refinery in 50 Years Starts Production,https://news.google.com/rss/articles/CBMixgFBVV95cUxPTXdfakplakFsZFBzMVVuNk5oZE9VMm5ITDd4b2tKMzJDTms0YVlqc09rWFdleE9jZExoZE9VUDgtNGxBNDlrZTJkMGh6WldwbTB2a1M2NHZNeEJnUHlPSWdwOUtHbmdILWNJRFhkcF96OVZDZW5oQnp1ZzI1UDdzbGhfMEJUZndmeEdUc0U2X0hfaTJHalVERXNfM2c1VXV2cFRqSjd4WGxkdWNoaWkyQ1p3MlZMZ3drUjV1SFliak04SkFMa1E?oc=5,Industrial Info Resources,15 May 2026,,no,,,,no,yes,3,5
Angola,Jobs & Employment,Cape Verde and Portugal launch job fair to connect students,https://news.google.com/rss/articles/CBMiuAFBVV95cUxPQ0U4YVljWG94NklTOWZEVXV2bU5TREttUGM2aVFYRTBMbW12aWNPUy0yRTEwUXV3dVprZWZtQ2RINF9KNk41T2VrZXJxVC1NZWlLWEM2WEd1ZGtydXU0QVlZa0NKeldpNVRwOU83aER5QktVZUJOM0lCcnc0bVFTanEzY1Y3SkZNSW5ZOFZuSkI2RlFqVzJEdTVYN3JwLTVyaG1jakR6RE1fSU9ZOFN2ejZqSVdXWGlp?oc=5,Plataforma Media,18 May 2026,,no,,,,no,yes,4,4
Angola,Macroeconomy,Brazil (BRA) and Angola (AGO) Trade | The Observatory of Economic Complexity,https://news.google.com/rss/articles/CBMib0FVX3lxTFBMaVFqOHh0SXk2dlBUa3JXZmZTQXZmQXo4RGtzeVpFdEc0TG1jWEl4dllZd2RWNjk0TWMwZzFFZXpQVTFoelU5TmREUm95T2RBQXNGV1dteHpaeXprb1A1RUZXLVhHSWxHUW92N09EUQ?oc=5,The Observatory of Economic Complexity,14 May 2026,,no,,,,no,yes,1,7
Angola,Macroeconomy,"Angola central bank trims key rate, lowers year-end inflation forecast",https://news.google.com/rss/articles/CBMi1gFBVV95cUxNdGo3MHAzQWYzWkpOWHNROElKdl95ZHI4eHdTMWp4Slk4Y05aWVJEUWw2OE5SSWxKaHd6OVh0UXdoS1BCQ2xCQWlrM2lhTFhUUG9JeENWVjZzVlp5ak5XNTFCNmdtNDNJNnFsMzBIUlYzUmdDMWhzdzBPZUp2YVh4VmhtWkVpRmtNUDVYbWMwWGhhUTNaNXlnVG5oWHo4dDFiUm5yMTNMMkJheEZNQ3NTajF3NkVWMWFWYlg1aUJBczNoanVqRmJ3Y0pPREt6dGlhSXNja0pR?oc=5,TradingView,14 May 2026,,no,,,,no,yes,2,6
Angola,Macroeconomy,Landry wants to spend $46 million on immigration detention,https://news.google.com/rss/articles/CBMiekFVX3lxTFBmQ3RvMzljak9hYXd3bE9NZUpxeG9XY1lFNXpIdXZoMjlVZDhGbUs0M1hxeVQ2a0ZLWnBlVHNHSllib1E1UWJMeHh1VFc2TWZzRVRzNm9SSDRiSW9mNVRrbm5INUtjYVZfM0ZON3JzazRTV2stMkYwUlRB?oc=5,Verite News,12 May 2026,,no,,,,no,yes,3,5
Angola,Macroeconomy,Egypt inflation hits highest level since May amid Iran war-driven energy price hike,https://www.trtafrika.com:443/english/article/582f8264ec57,TRT Afrika,16 May 2026,,no,,,,no,no,4,4
Angola,Macroeconomy,Angola Restarts Rate Cuts As Inflation Cools,https://news.google.com/rss/articles/CBMifkFVX3lxTFBHRXBicTdkTnhtUjkwaWktbnJkWGxSaVVWVFVDWEtKQThScDdzaVVZc285dkJoUkR6Y2JhNEF1VTRwY3U1UGQzWWhUcjYxaUV4UUV5WUFLRWhUYmFRa3otMjA0NURxZnZ0akFUU2pkNml0Ul9pb3JyNWxzSEdUdw?oc=5,Finimize,14 May 2026,,no,,,,no,yes,5,3
